Categoría,Slug,ID,Cantidad Tags,Tags
Abrasivos,abrasivos-ferreteria,248,0,
Accesorios,accesorios-electricidad,258,0,
Accesorios,accesorios,253,0,
Accesorios de Calzado,accesorios-de-calzado,132,0,
Accesorios de Vestuario,accesorios-de-vestuario,138,0,
Accesorios para Herramientas,accesorios-para-herramientas-ferreteria,215,0,
Adhesivos y Selladores,adhesivos-y-selladores,158,0,
Aislación,aislacion-construccion,239,0,
Alimento,alimento,219,0,
Anclajes y Tarugos,anclajes-y-tarugos,120,0,
Anticorte,anticorte,271,0,
Baño,bano,252,0,
Baño e Higiene,bano-e-higiene,167,0,
Baño y Cocina,bano-y-cocina,211,0,
Basureros y Bolsas,basureros-y-bolsas,254,0,
Bolsas y Empaques,bolsas-y-empaques,202,0,
Bolsos y Mochilas,bolsos-y-mochilas,186,0,
Bombas y Presurización,bombas-y-presurizacion,156,0,
Botas de Agua y Pesca,botas-de-agua-y-pesca,269,0,
Cables y Conductores,cables-y-conductores,259,0,
Calzado,calzado,268,0,
Calzado de Seguridad,calzado-de-seguridad,207,74,"ocular, antiparras, anteojos, ojos, policarbonato, cat, work, dielectrico, ultravioleta, oscuro..."
Camisas y Blusas,camisas-y-blusas,217,0,
Canalización,canalizacion,257,0,
Carretillas y Transporte,carretillas-y-transporte,170,0,
Cerámicas y Revestimientos,ceramicas-y-revestimientos-construccion,256,0,
Cerraduras Digitales,cerraduras-digitales,173,0,
Cerrajería y Herrajes,cerrajeria-y-herrajes,162,0,
Chalecos y Softshell,chalecos-y-softshell,235,33,"chaleco, orange, work, fabric, reflectante, amarillo, visibility, trabajo, mesh, topografo..."
Chaquetas y Parkas,chaquetas-y-parkas,228,0,
Componentes,componentes,262,0,
Conexiones y Fittings,conexiones-y-fittings,241,0,
Construcción,construccion,236,0,
Control de Plagas,control-de-plagas,122,0,
Delantales y Pecheras,delantales-y-pecheras,242,0,
Desagües y Sifones,desagues-y-sifones,250,0,
Desechables,desechables,233,0,
Dieléctrico,dielectrico,266,0,
Dispensadores de Agua,dispensadores-de-agua,166,0,
Electricidad,electricidad,226,0,
Electrónica y Conectividad,electronica-y-conectividad,174,0,
Enchufes e Interruptores,enchufes-e-interruptores,255,0,
Envases y Dispensadores,envases-y-dispensadores,144,0,
EPP,epp,212,0,
Equipos,equipos,270,0,
Ergonomía y Soporte Lumbar,ergonomia-y-soporte-lumbar-epp,273,0,
Escaleras y Andamios,escaleras-y-andamios,189,0,
Extensiones y Alargadores,extensiones-y-alargadores,227,0,
Extintores y Contra Incendios,extintores-y-contra-incendios,195,0,
FERRETERÍA,ferreteria,31,0,
